Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C21, C27, C3, C33",0603,5,1uF,
"C11, C12, C15, C19, C23, C25, C29, C31",0402,8,100nF,
"C16, C36",0603,2,100nF,
"C2, C22, C28, C34",0603,4,4.7uF,
C35,0402,1,18pF,C1549
C37,0603,1,18pF,C1647
C4,0603,1,10uF,
"C5, C6",0603,2,22uF,
"D2, D4, D5, D6",0805,4,LED,C25170728
J1,Samtec_HSEC8-150-01-X-DV-A_2x50_P0.8mm_Pol27_Socket_AlignmentPins,1,HSEC8-150-01-X-DV-A,C6208430
"J10, J16, J21, J5",PinHeader_2x10_P2.54mm_Vertical,4,Conn_02x10_Odd_Even,C706900
"J11, J12, J13, J14, J18, J19, J7, J8",PinSocket_1x10_P2.54mm_Vertical,8,Conn_01x10,C5116489
"J15, J20, J22, J23, J32, J6, J9",PinHeader_1x02_P2.54mm_Vertical,7,Conn_01x02,C492401
"J17, J4",PinHeader_2x30_P2.54mm_Vertical,2,Conn_02x30_Counter_Clockwise,C19190515
J2,BarrelJack_CUI_PJ-063AH_Horizontal,1,Barrel_Jack_MountingPin,C22434582
L1,L_TDK_SLF10145,1,22uH,C2041357
"R1, R32, R59, R79",0603,4,1R,
"R2, R30, R57, R68, R77, R8, R88, R92",0603,8,4k7,
"R3, R31, R58, R78",0603,4,9k1,
R89,0603,1,25k5,
R90,0603,1,102k,
R95,0603,1,33k,
R96,0603,1,499k,
R97,0603,1,10k,
R98,0603,1,15k,
"U1, U11, U14, U8",SOT-23-5,4,TPS76333,C544583
"U12, U2, U6, U9",Texas_R-PUQFN-N12,4,TXB0104RUT,C105266
U3,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,1,LMR36510ADDA,C1858393
