Designator,Mid X,Mid Y,Rotation,Layer
C1,113.875,-67.85,0.0,top
C11,111.6,-75.03,90.0,top
C12,110.05,-75.25,0.0,top
C15,111.05,-113.65,90.0,top
C16,125.0,-144.5,180.0,top
C19,109.49,-113.46,0.0,top
C2,107.65,-69.05,180.0,top
C21,113.315,-106.06,0.0,top
C22,107.09,-107.26,180.0,top
C23,160.15,-74.13,270.0,top
C25,161.699,-74.209,180.0,top
C27,157.874,-81.609,180.0,top
C28,164.099,-80.409,0.0,top
C29,159.9,-108.87,270.0,top
C3,114.875,-140.8,180.0,top
C31,161.42676,-109.039,180.0,top
C33,157.60176,-116.439,180.0,top
C34,163.82676,-115.239,0.0,top
C35,127.0,-138.0,90.0,top
C36,111.5,-140.5,180.0,top
C37,117.5,-136.5,90.0,top
C4,127.0,-140.3,0.0,top
C5,104.5,-148.5,270.0,top
C6,102.745,-148.505,270.0,top
D2,111.725,-70.2875,270.0,top
D4,111.165,-108.4975,270.0,top
D5,160.024,-79.1715,90.0,top
D6,159.75176,-114.0015,90.0,top
H1,94.5,-149.0,0.0,top
H2,181.5,-47.0,0.0,top
H3,112.725,-89.75,0.0,top
H4,157.0,-149.0,0.0,top
H5,84.5,-149.0,0.0,top
H6,184.5,-149.0,0.0,top
J1,108.7,-33.2,0.0,top
J10,83.83,-126.99,180.0,top
J11,176.849,-73.799,180.0,top
J12,169.199,-73.799,180.0,top
J13,94.9,-75.66,0.0,top
J14,102.55,-75.66,0.0,top
J15,185.219,-90.409,90.0,top
J16,185.219,-75.209,0.0,top
J17,147.08,-94.45,0.0,top
J18,176.525,-129.515,180.0,top
J19,168.875,-129.515,180.0,top
J2,137.5,-144.9,0.0,top
J20,184.53,-142.075,90.0,top
J21,184.52,-126.955,0.0,top
J22,182.5,-100.77,0.0,top
J23,160.0,-137.27,0.0,top
J32,86.53,-59.05,270.0,top
J4,127.93,-94.45,0.0,top
J5,86.53,-74.25,180.0,top
J6,149.5,-140.77,0.0,top
J7,94.3,-123.19,0.0,top
J8,101.95,-123.19,0.0,top
J9,83.78,-111.875,270.0,top
L1,110.95,-147.0,180.0,top
R1,107.65,-70.6,0.0,top
R2,114.625,-65.5,270.0,top
R3,113.125,-65.5,270.0,top
R30,112.565,-103.71,270.0,top
R31,110.175,-101.55,0.0,top
R32,105.1,-104.875,90.0,top
R57,157.124,-83.959,90.0,top
R58,158.624,-83.959,90.0,top
R59,164.099,-78.859,180.0,top
R68,161.774,-79.409,270.0,top
R77,156.85176,-118.789,90.0,top
R78,158.35176,-118.789,90.0,top
R79,163.82676,-113.689,180.0,top
R8,109.975,-70.05,90.0,top
R88,161.50176,-114.239,270.0,top
R89,120.0,-137.5,180.0,top
R90,116.0,-138.3,90.0,top
R92,108.5,-109.0,180.0,top
R95,130.5,-139.0,90.0,top
R96,129.0,-137.0,90.0,top
R97,124.0,-136.325,90.0,top
R98,125.5,-136.5,270.0,top
TP1,133.225,-133.925,0.0,top
U1,110.2625,-66.75,0.0,top
U11,161.4865,-82.709,180.0,top
U12,161.58426,-107.239,180.0,top
U14,161.21426,-117.539,180.0,top
U2,109.8925,-77.05,0.0,top
U3,121.0,-141.0,180.0,top
U6,109.3325,-115.26,0.0,top
U8,109.7025,-104.96,0.0,top
U9,161.8565,-72.409,180.0,top
